name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Community Health Center JAKHAL,Near SBI Bank Jakhal,Yes (6),6,0,0,0,6,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:41,5
"Gupta Children Hospital, Ratia","Aggarwal Colony, Ratia",Yes (14),4,8,2,1,6,8,2,1,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:44,5
Kaushal Hospital,"Near Harvinder Singh Petrol Pump, Hisar Road, Fatehabad",Yes (8),6,0,2,0,12,0,6,3,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:46,5
"Manav Sewa Sangam Hospital, Tohana",Near Truck Union,Yes (2),2,0,0,0,15,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:45,5
Miglani Hospital,"Employees Colony, Ratia,",Yes (18),12,2,4,4,15,2,7,7,Yes,Yes,Yes,Yes,Yes,2021-05-31 21:18,5
Rajasthan Medical Centre (RMC) Hospital Tohana,Kenchi Chowk Tohana,Yes (15),11,0,4,2,11,0,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:40,5
Sadhbhawdna Hospital Fatehabad,Near Court Complex Hisar Road Fatehabad,Yes (31),10,20,1,1,15,20,15,5,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:26,5
Sanjeevani Hospital Fatehabad,"Goshala Road, near Ashirbad Pelace",Yes (7),4,0,3,3,6,0,4,3,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:48,5
Sanjeevani Hospital Tohana,"Kenchi Chock, Tohana",Yes (13),0,6,7,2,0,6,12,2,Yes,Yes,Yes,Yes,Yes,2021-05-31 10:41,5
"Singla Hospital , fatehabad","Bhattu Road, Batra Colony, Fatehabad",Yes (12),4,8,0,0,5,8,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-31 16:13,5
WadhwaMaternity and surgical Hospital Fatehabad,"Near Papiha Park, Fatehabad",Yes (7),1,0,6,1,1,0,7,1,Yes,Yes,Yes,Yes,Yes,2021-05-31 19:52,5
Ch Lekh Raj Multispeciality Hospital,Vill Gadhauli Yamuna Nagar,Yes (144),137,0,7,3,140,0,10,5,Yes,No,Yes,Yes,Yes,2021-05-31 18:47,22
CHC Bilaspur,CHC Bilaspur,Yes (18),3,15,0,0,8,17,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:08,22
CHC Chhachharuli,CHC Chhachharuli,Yes (22),8,14,0,0,10,20,0,0,Yes,No,Yes,Yes,Yes,2021-05-31 14:40,22
CHC Naharpur,Naharpur Yamuna Nagar,Yes (10),10,0,0,0,10,0,0,0,Yes,No,No,No,Yes,2021-05-30 19:34,22
CHC Partap Nagar,CHC Partap Nagar,Yes (13),6,7,0,0,6,10,0,0,Yes,No,Yes,No,Yes,2021-05-31 12:10,22
CHC Radaur,Radaur Yamuna Nagar,Yes (20),10,10,0,0,10,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:09,22
CHC Saraswati Nagar,CHC Saraswati Nagar,Yes (25),14,11,0,0,14,11,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:09,22
DABRA HOSPITAL Yamunanagar,DABRA HOSPITAL,Yes (15),7,8,0,2,11,8,4,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:14,22
ESI Hospital,"ESI Hospital, Jagadhri",Yes (33),15,0,18,0,36,0,22,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:07,22
Gaba Hospital,Gaba Hospital Yamunanagar,Yes (41),21,20,0,0,30,20,20,5,Yes,No,Yes,Yes,Yes,2021-05-30 17:11,22
GULATI HOSPITAL,GULATI HOSPITAL,Yes (22),17,3,2,0,25,3,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:12,22
Heart Care Center Hospital,Near Lal Dwara Mandir Yamuna Nagar,Yes (18),2,2,14,6,2,2,15,7,Yes,No,Yes,Yes,Yes,2021-05-31 09:16,22
JP Hospital Pvt,"Jagadhri Rd, near Luxmi Theater, Vishwakarma Mohalla, Yamuna Nagar,HARAYANA Haryana",Yes (30),13,14,3,0,15,15,13,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:12,22
KAPOOR HOSPITAL,"SH 6A Indira Colony Jagadhri, yamunanagart ,Haryana",Yes (10),3,0,7,0,4,0,8,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:14,22
KESHWANI HOSPITAL,"Jagadhri - Yamuna Nagar Rd, Tagore Garden, Yamuna Nagar, Haryana",Yes (8),8,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:17,22
Maxxwell Hospital,Jagadhari Yamuna Nagar,Yes (17),10,1,6,0,10,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:13,22
Mukand Lal District Civil Hospital Yamunanagar,Mukand Lal District Civil Hospital YNR,Yes (20),11,9,0,1,18,9,0,5,Yes,No,Yes,Yes,Yes,2021-05-30 17:10,22
NIRMAL HOSPITAL,"199, Radaur Rd, near nirmal hospital, camp, Garhi Gujran, Haryana",Yes (15),13,1,1,0,13,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:15,22
RK Gupta,opp DAV Sr Sec School Near Madhu Hotel YNR,Yes (11),9,2,0,0,15,2,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:15,22
SABBARWAL HOSPITAL,"Gulab Nagar, Jagadhri, Haryana",Yes (4),1,0,3,0,6,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:17,22
Sachdeva Hospital,"2227, Civil Lines Rd, Sri Nagar Colony, Civil Lines, Gomti Mohalla, Jagadhri, Haryana",Yes (23),14,8,1,0,16,8,4,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:16,22
Santosh Hospital,"Santosh Hospital  Kanhaiya Sahib Chowk, near Govt.School, Harbanspura Colony, Gobind Pura, Yamuna Nagar, Haryana",Yes (21),5,9,7,0,5,9,14,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:10,22
SHARMA HOSPITAL,Near Agarsain Chowk Jagadhri,Yes (6),6,0,0,0,12,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:16,22
Shree Medical Care Hospital,"359/2, Jain nagar, Jagadhri, Haryana",Yes (12),12,0,0,0,15,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:18,22
Shureshtha Hospital,Model Colony YNR,Yes (1),0,0,1,0,9,1,2,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:14,22
SP Hospital Jag,S.P Hospital Jag,Yes (6),4,0,2,1,4,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-30 17:12,22
Swami Vivekanand Hospital Yamunanagar,"Swami Vivekanand Hospital,Yamuna Nagar, Haryana",Yes (34),14,10,10,1,20,10,19,1,Yes,No,Yes,Yes,Yes,2021-05-30 17:13,22
Swastik Hospital,"Basant Nagar, Yamuna Nagar, Haryana",Yes (5),3,2,0,0,4,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:18,22
tejli stadium,64 A Tejli,Yes (48),11,37,0,0,20,56,0,0,Yes,No,No,No,Yes,2021-05-30 17:08,22
VARDAAN HOSPITAL,OPP KOHLI HOSPITAL NEAR AGARSEN COLLEGE JAGADHRI,Yes (9),7,2,0,0,8,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:16,22
